,"Population estimates, July 1, 2015,  (V2015)","Population estimates base, April 1, 2010,  (V2015)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2015,  (V2015)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2015,  (V2015)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2015,  (V2015)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2015,  (V2015)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2015,  (V2015)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2015,  (V2015)  (a)","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, July 1, 2015,  (V2015)  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, July 1, 2015,  (V2015)  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, July 1, 2015,  (V2015)  (a)","Asian alone, percent, April 1, 2010  (a)","Two or More Races, percent, July 1, 2015,  (V2015)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, July 1, 2015,  (V2015)  (b)","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, July 1, 2015,  (V2015)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2015,  (V2015)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2015","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2012 ($1,000)  (c)","Total manufacturers shipments, 2012 ($1,000)  (c)","Total merchant wholesaler sales, 2012 ($1,000)  (c)","Total retail sales, 2012 ($1,000)  (c)","Total retail sales per capita, 2012  (c)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2014","Total employment, 2014","Total annual payroll, 2014 ($1,000)","Total employment, percent change, 2013-2014","Total nonemployer establishments, 2014","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Dauphin County, Pennsylvania",272983,268100,1.8,268100,6.2,6.3,22.5,23.2,15.6,13.7,51.5,51.7,73.6,72.7,18.8,18,0.4,0.2,4.1,3.2,3.1,3.1,8.6,7,67.5,69.9,18585,7,122194,120406,63.5,159200,1377,517,847,715,109623,2.41,85.5,11.4,88.8,28.4,10,10.2,65.6,62.4,718316,2181966,3228906,6655538,3943863,14625,21.6,53754,29461,13.4,6718,141108,6805560,-0.8,15753,18873,10921,6072,3558,14252,2080,15716,510.6,525.05,"""42043"""
"Cumberland County, Pennsylvania",246338,235408,4.6,235406,5.3,5.4,20.3,20.7,17.4,15.6,50.5,50.9,89.8,90.9,4,3.2,0.2,0.2,3.9,3,2,1.8,3.6,2.7,87,89.4,20354,5.7,103561,99988,70.7,188400,1456,501,886,831,95950,2.38,85.3,8.2,91.5,32.7,7,8.8,65,60.6,465023,1650883,3776427,2666273,4812854,20170,21.6,61820,32398,9.1,5805,115978,5018527,1.5,15332,19169,10769,6262,1431,16936,2010,16033,431.6,545.46,"""42041"""
"Crawford County, Pennsylvania",86484,88765,-2.6,88765,5.4,5.7,21.2,22.4,18.8,16.6,51.1,51.2,96,96.3,1.9,1.7,0.2,0.2,0.5,0.5,1.3,1.1,1.3,0.9,94.9,95.7,7229,1.2,44309,44686,73.5,104800,1052,410,619,57,34575,2.42,87.8,6.2,87.7,19.8,12.1,12.6,57.6,51.8,102834,424553,1759240,136295,973472,11113,21.7,44579,22726,14.9,2020,27502,914675,-0.3,5472,7628,5288,1397,101,7219,745,6354,87.7,1012.3,"""42039"""
"Columbia County, Pennsylvania",66672,67296,-0.9,67295,4.5,4.8,17.8,18.7,17.7,16.1,51.6,52,95.5,95.4,2.1,1.9,0.2,0.1,1.2,0.8,1,1.1,2.7,2,93.3,94.4,4578,2.4,29594,29498,70.4,140600,1175,436,707,153,26178,2.4,87.7,3.2,88.5,21.1,8.7,9.7,56.7,52.2,109255,0,1613375,118445,904832,13528,22.1,45374,23580,14.3,1392,22893,794237,0.2,3198,4590,2771,1162,121,4221,557,3750,139.3,483.11,"""42037"""
"Greene County, Pennsylvania",37519,38686,-3,38686,5.1,5,19.2,19.9,17.5,15.3,47.9,48.5,94.6,94.6,3.6,3.3,0.2,0.2,0.4,0.3,1.2,1,1.5,1.2,93.4,94.1,2958,0.6,16441,16460,73.1,97400,994,396,630,36,14394,2.33,86.4,3.4,86.9,17.7,13.6,8.9,49.8,49.8,53343,141314,101467,302769,883684,23203,26.5,46661,23232,16.5,762,14203,753612,-2.6,1543,2095,1265,521,0,1969,293,1666,67.2,575.95,"""42059"""
"Fulton County, Pennsylvania",14629,14844,-1.4,14845,5.1,6.2,21.1,23.1,19.9,17.1,49.5,49.7,97.3,97.3,1.2,1,0.2,0.2,0.1,0.1,1.1,1,1.2,0.8,96.3,96.9,1237,0.7,7109,7122,79.1,153200,1176,381,644,26,5960,2.46,91.9,1.6,85.1,13.1,10.7,10.4,59.9,54.2,10475,0,0,139750,102928,6968,32.1,48311,23435,13.3,262,0,0,0,950,1246,822,308,36,1174,143,1071,33.9,437.55,"""42057"""
"Franklin County, Pennsylvania",153638,149618,2.7,149618,6.1,6.6,22.7,23.9,18.6,16.5,50.9,51.1,92.8,92,3.9,3.1,0.3,0.2,1.1,0.9,1.9,1.8,5.2,4.3,88.7,90.2,12446,3.3,64325,63219,71.7,173400,1345,440,809,231,58570,2.56,88.9,6.9,86,19,8.3,12.3,63.2,56.7,0,820531,3179954,0,1809457,11961,23.5,53916,26025,11.9,3017,48464,1767029,1.4,8944,11618,6692,3752,642,10513,1384,9679,193.7,772.22,"""42055"""
"Forest County, Pennsylvania",7410,7716,-4,7716,1.3,2.4,6.2,12.4,22,18.4,32.5,33.1,79,76.9,19.4,18,0.5,0.2,0.2,0.2,0.9,0.6,6,5.4,74,75.8,679,2.1,8652,8760,82.7,84400,836,328,541,2,1974,1.86,83.5,8.1,80.5,8.5,20,12.2,18.5,39.8,7460,35930,0,0,24845,3241,23.4,35533,13645,21.9,107,1225,38895,14.7,273,220,120,74,0,201,25,180,18.1,427.19,"""42053"""
"Fayette County, Pennsylvania",133628,136607,-2.2,136606,5.2,5,19.5,20.3,19.9,18,50.6,50.9,92.9,93.3,4.8,4.6,0.2,0.1,0.4,0.3,1.6,1.3,1.1,0.8,92.1,92.9,11090,1,62971,62773,71.7,88900,989,379,593,164,53997,2.41,91.6,2.4,86.8,14.2,13.3,10.6,52.5,48.2,211832,619786,1324169,496635,1638849,12081,26.2,39636,22014,20.2,2676,36687,1226227,4.1,6245,8105,4709,2343,369,7430,856,6734,172.8,790.34,"""42051"""
"Erie County, Pennsylvania",278045,280566,-0.9,280566,5.8,6,21.8,22.7,16.1,14.6,50.6,50.8,88.1,88.2,7.7,7.2,0.3,0.2,1.6,1.1,2.2,2.1,4,3.4,85,86.5,21246,4.3,120094,119138,65.7,118200,1122,448,689,267,109934,2.43,85.3,6.7,90.8,26.1,11,10.7,62,58.7,485439,2216462,9437662,1242517,3752817,13372,19,45971,24856,16.4,6176,112761,4257751,-0.8,13951,18667,10882,5581,1267,16593,1639,16019,351.1,799.15,"""42049"""
