Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
Frank Darabont,14 Oct 1994,The Shawshank Redemption,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption""), Frank Darabont (screenplay)",1994,tt0111161,9.3,Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler,2,1,1,1,1,1,7
Frank Darabont,10 Dec 1999,The Green Mile,"Stephen King (novel), Frank Darabont (screenplay)",1999,tt0120689,8.5,Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt,2,1,5,1,1,1,11
Steven Spielberg,24 Jul 1998,Saving Private Ryan,Robert Rodat,1998,tt0120815,8.6,Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper,7,1,5,1,1,1,16
Robert Zemeckis,06 Jul 1994,Forrest Gump,"Winston Groom (novel), Eric Roth (screenplay)",1994,tt0109830,8.8,Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys,2,1,5,1,1,1,11
John Lasseter,22 Nov 1995,Toy Story,"John Lasseter (original story by), Pete Docter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Joss Whedon (screenplay), Andrew Stanton (screenplay), Joel Cohen (screenplay), Alec Sokolow (screenplay)",1995,tt0114709,8.3,Tom Hanks, Tim Allen, Don Rickles, Jim Varney,1,1,5,2,1,1,11
Lee Unkrich,18 Jun 2010,Toy Story 3,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay)",2010,tt0435761,8.3,Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty,1,1,5,2,1,1,11
Francis Ford Coppola,24 Mar 1972,The Godfather,"Mario Puzo (screenplay), Francis Ford Coppola (screenplay), Mario Puzo (novel)",1972,tt0068646,9.2,Marlon Brando, Al Pacino, James Caan, Richard S. Castellano,3,1,3,1,1,1,10
Francis Ford Coppola,15 Aug 1979,Apocalypse Now,"John Milius, Francis Ford Coppola, Michael Herr (narration)",1979,tt0078788,8.5,Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest,3,1,3,1,1,1,10
Elia Kazan,22 Jun 1954,On the Waterfront,"Budd Schulberg (screenplay), Budd Schulberg (based upon an original story by), Malcolm Johnson (suggested by articles by)",1954,tt0047296,8.2,Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger,1,1,3,1,2,1,9
Sidney Lumet,01 Apr 1957,12 Angry Men,"Reginald Rose (story), Reginald Rose (screenplay)",1957,tt0050083,8.9,Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall,3,1,1,1,2,1,9
Francis Ford Coppola,20 Dec 1974,The Godfather: Part II,"Francis Ford Coppola (screenplay), Mario Puzo (screenplay), Mario Puzo (novel)",1974,tt0071562,9.0,Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro,3,1,3,1,1,1,10
Brian De Palma,09 Dec 1983,Scarface,Oliver Stone (screenplay),1983,tt0086250,8.3,Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio,1,1,3,1,1,1,8
Michael Mann,15 Dec 1995,Heat,Michael Mann,1995,tt0113277,8.2,Al Pacino, Robert De Niro, Val Kilmer, Jon Voight,1,1,3,1,1,1,8
Christopher Nolan,18 Jul 2008,The Dark Knight,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2008,tt0468569,9.0,Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine,7,2,3,1,1,1,15
Christopher Nolan,20 Jul 2012,The Dark Knight Rises,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2012,tt1345836,8.5,Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt,7,2,3,2,1,1,16
Luc Besson,18 Nov 1994,Léon: The Professional,Luc Besson,1994,tt0110413,8.6,Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello,1,1,1,2,1,1,7
Christopher Nolan,15 Jun 2005,Batman Begins,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)",2005,tt0372784,8.3,Christian Bale, Michael Caine, Liam Neeson, Katie Holmes,7,1,3,1,1,1,14
Christopher Nolan,16 Jul 2010,Inception,Christopher Nolan,2010,tt1375666,8.8,Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy,7,1,6,1,1,1,17
Steven Spielberg,25 Dec 2002,Catch Me If You Can,"Jeff Nathanson (screenplay), Frank Abagnale Jr. (book), Stan Redding (book)",2002,tt0264464,8.0,Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen,7,1,6,1,1,1,17
Martin Scorsese,06 Oct 2006,The Departed,"William Monahan (screenplay), Alan Mak, Felix Chong",2006,tt0407887,8.5,Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg,7,1,6,1,1,1,17
Martin Scorsese,25 Dec 2013,The Wolf of Wall Street,"Terence Winter (screenplay), Jordan Belfort (book)",2013,tt0993846,8.2,Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey,7,1,6,1,1,1,17
Martin Scorsese,19 Feb 2010,Shutter Island,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",2010,tt1130884,8.1,Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow,7,1,6,1,1,2,18
Ingmar Bergman,13 Oct 1958,The Seventh Seal,"Ingmar Bergman (play), Ingmar Bergman (screenplay)",1957,tt0050976,8.2,Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow,4,1,1,1,1,2,10
Alejandro G. Iñárritu,08 Jan 2016,The Revenant,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)",2015,tt1663202,8.1,Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter,2,1,6,2,1,1,13
Gavin O'Connor,09 Sep 2011,Warrior,"Gavin O'Connor (screenplay), Anthony Tambakis (screenplay), Cliff Dorfman (screenplay), Gavin O'Connor (story), Cliff Dorfman (story)",2011,tt1291584,8.2,Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison,1,1,1,2,1,1,7
Christopher Nolan,07 Nov 2014,Interstellar,"Jonathan Nolan, Christopher Nolan",2014,tt0816692,8.6,Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow,7,1,2,1,1,1,13
Darren Aronofsky,15 Dec 2000,Requiem for a Dream,"Hubert Selby Jr. (based on the book by), Hubert Selby Jr. (screenplay), Darren Aronofsky (screenplay)",2000,tt0180093,8.4,Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans,1,1,2,1,2,1,8
Ron Howard,04 Jan 2002,A Beautiful Mind,"Akiva Goldsman, Sylvia Nasar (book)",2001,tt0268978,8.2,Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer,2,1,2,1,2,1,9
Christopher Nolan,25 May 2001,Memento,"Christopher Nolan (screenplay), Jonathan Nolan (short story ""Memento Mori"")",2000,tt0209144,8.5,Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior,7,1,1,1,1,1,12
Christopher Nolan,20 Oct 2006,The Prestige,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Priest (novel)",2006,tt0482571,8.5,Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo,7,1,2,1,1,1,13
Denis Villeneuve,20 Sep 2013,Prisoners,Aaron Guzikowski,2013,tt1392214,8.1,Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello,2,1,2,1,1,1,8
Sergio Leone,29 Dec 1967,"The Good, the Bad and the Ugly","Luciano Vincenzoni (story), Sergio Leone (story), Agenore Incrocci (screenplay), Furio Scarpelli (screenplay), Luciano Vincenzoni (screenplay), Sergio Leone (screenplay), Mickey Knox (English version by)",1966,tt0060196,8.9,Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè,5,1,1,1,1,1,10
Sergio Leone,04 Jul 1969,Once Upon a Time in the West,"Sergio Donati (screenplay), Sergio Leone (screenplay), Dario Argento (from a story by), Bernardo Bertolucci (from a story by), Sergio Leone (from a story by)",1968,tt0064116,8.6,Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson,5,1,1,1,1,1,10
Sergio Leone,01 Jun 1984,Once Upon a Time in America,"Harry Grey (novel), Leonardo Benvenuti (screenplay), Piero De Bernardi (screenplay), Enrico Medioli (screenplay), Franco Arcalli (screenplay), Franco Ferrini (screenplay), Sergio Leone (screenplay), Stuart Kaminsky (additional dialogue)",1984,tt0087843,8.4,Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci,5,1,5,1,1,1,14
Martin Scorsese,21 Sep 1990,Goodfellas,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)",1990,tt0099685,8.7,Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco,7,2,5,1,3,1,19
Martin Scorsese,22 Nov 1995,Casino,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)",1995,tt0112641,8.2,Robert De Niro, Sharon Stone, Joe Pesci, James Woods,7,2,5,1,3,1,19
Martin Scorsese,19 Dec 1980,Raging Bull,"Jake LaMotta (based on the book by), Joseph Carter (with), Peter Savage (with), Paul Schrader (screenplay), Mardik Martin (screenplay)",1980,tt0081398,8.3,Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent,7,1,5,1,3,1,18
Michael Cimino,23 Feb 1979,The Deer Hunter,"Michael Cimino (story), Deric Washburn (story), Louis Garfinkle (story), Quinn K. Redeker (story), Deric Washburn (screenplay)",1978,tt0077416,8.2,Robert De Niro, John Cazale, John Savage, Christopher Walken,1,1,5,1,1,1,10
Sergio Leone,10 May 1967,For a Few Dollars More,"Sergio Leone (scenario), Fulvio Morsella (scenario), Luciano Vincenzoni (screenplay), Sergio Leone (screenplay), Luciano Vincenzoni (dialogue: English version)",1965,tt0059578,8.3,Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mario Brega,5,1,5,1,2,1,15
Sergio Leone,18 Jan 1967,A Fistful of Dollars,"Adriano Bolzoni (story), Víctor Andrés Catena (story), Sergio Leone (story), Víctor Andrés Catena (screenplay), Jaime Comas Gil (screenplay), Sergio Leone (screenplay)",1964,tt0058461,8.0,Clint Eastwood, Marianne Koch, Gian Maria Volontè, Wolfgang Lukschy,5,1,5,1,2,1,15
Clint Eastwood,07 Aug 1992,Unforgiven,David Webb Peoples,1992,tt0105695,8.3,Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris,3,1,5,1,2,1,13
Clint Eastwood,28 Jan 2005,Million Dollar Baby,"Paul Haggis (screenplay), F.X. Toole (stories)",2004,tt0405159,8.1,Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel,3,1,5,1,2,1,13
Clint Eastwood,09 Jan 2009,Gran Torino,"Nick Schenk (screenplay), Dave Johannson (story), Nick Schenk (story)",2008,tt1205489,8.2,Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her,3,1,5,1,1,1,12
Peter Jackson,17 Dec 2003,The Lord of the Rings: The Return of the King,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)",2003,tt0167260,8.9,Noel Appleby, Ali Astin, Sean Astin, David Aston,3,2,1,1,2,1,10
Peter Jackson,19 Dec 2001,The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)",2001,tt0120737,8.8,Alan Howard, Noel Appleby, Sean Astin, Sala Baker,3,2,1,1,2,2,11
Peter Jackson,18 Dec 2002,The Lord of the Rings: The Two Towers,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)",2002,tt0167261,8.7,Bruce Allpress, Sean Astin, John Bach, Sala Baker,3,1,1,1,1,2,9
Quentin Tarantino,14 Oct 1994,Pulp Fiction,"Quentin Tarantino (story), Roger Avary (story), Quentin Tarantino",1994,tt0110912,8.9,Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta,4,1,1,1,1,1,9
Quentin Tarantino,25 Dec 2012,Django Unchained,Quentin Tarantino,2012,tt1853728,8.5,Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington,4,2,1,1,1,1,10
"Quentin Tarantino, Eli Roth",21 Aug 2009,Inglourious Basterds,Quentin Tarantino,2009,tt0361748,8.3,Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth,1,2,1,1,1,1,7
Quentin Tarantino,02 Sep 1992,Reservoir Dogs,"Quentin Tarantino, Roger Avary (background radio dialog), Quentin Tarantino (background radio dialog)",1992,tt0105236,8.4,Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn,4,1,1,1,1,1,9
Quentin Tarantino,10 Oct 2003,Kill Bill: Vol. 1,"Quentin Tarantino, Quentin Tarantino (character The Bride), Uma Thurman (character The Bride)",2003,tt0266697,8.1,Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah,4,1,1,1,1,1,9
Sidney Lumet,27 Nov 1976,Network,Paddy Chayefsky,1976,tt0074958,8.1,Faye Dunaway, William Holden, Peter Finch, Robert Duvall,3,1,1,1,1,1,8
Sidney Lumet,21 Sep 1975,Dog Day Afternoon,"Frank Pierson (screenplay), P.F. Kluge (based upon a magazine article by), Thomas Moore (based upon a magazine article by)",1975,tt0072890,8.0,Penelope Allen, Sully Boyar, John Cazale, Beulah Garrick,3,1,1,1,1,1,8
Steven Spielberg,04 Feb 1994,Schindler's List,"Thomas Keneally (book), Steven Zaillian (screenplay)",1993,tt0108052,8.9,Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall,7,1,1,1,1,1,12
Steven Spielberg,12 Jun 1981,Raiders of the Lost Ark,"Lawrence Kasdan (screenplay), George Lucas (story by), Philip Kaufman (story by)",1981,tt0082971,8.5,Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey,7,1,4,1,1,1,15
Steven Spielberg,24 May 1989,Indiana Jones and the Last Crusade,"Jeffrey Boam (screenplay), George Lucas (story), Menno Meyjes (story), George Lucas (characters), Philip Kaufman (characters)",1989,tt0097576,8.3,Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody,7,1,4,1,1,1,15
Ridley Scott,25 Jun 1982,Blade Runner,"Hampton Fancher (screenplay), David Webb Peoples (screenplay), Philip K. Dick (novel)",1982,tt0083658,8.2,Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos,4,1,4,1,1,1,12
J.J. Abrams,18 Dec 2015,Star Wars: The Force Awakens,"Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)",2015,tt2488496,8.2,Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver,1,1,4,1,4,1,12
Irvin Kershner,20 Jun 1980,Star Wars: Episode V - The Empire Strikes Back,"Leigh Brackett (screenplay), Lawrence Kasdan (screenplay), George Lucas (story by)",1980,tt0080684,8.8,Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,1,1,3,3,4,2,14
Richard Marquand,25 May 1983,Star Wars: Episode VI - Return of the Jedi,"Lawrence Kasdan (screenplay), George Lucas (screenplay), George Lucas (story by)",1983,tt0086190,8.4,Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,1,1,3,3,4,2,14
George Lucas,25 May 1977,Star Wars: Episode IV - A New Hope,George Lucas,1977,tt0076759,8.7,Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing,1,1,3,3,4,1,13
Steven Spielberg,11 Jun 1993,Jurassic Park,"Michael Crichton (novel), Michael Crichton (screenplay), David Koepp (screenplay)",1993,tt0107290,8.1,Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough,7,1,1,1,1,1,12
Steven Spielberg,20 Jun 1975,Jaws,"Peter Benchley (screenplay), Carl Gottlieb (screenplay), Peter Benchley (based on the novel by)",1975,tt0073195,8.0,Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary,7,1,1,1,1,1,12
Robert Zemeckis,03 Jul 1985,Back to the Future,"Robert Zemeckis, Bob Gale",1985,tt0088763,8.5,Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover,2,1,1,1,1,1,7
David Fincher,15 Oct 1999,Fight Club,"Chuck Palahniuk (novel), Jim Uhls (screenplay)",1999,tt0137523,8.8,Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier,3,1,2,1,1,1,9
Tony Kaye,20 Nov 1998,American History X,David McKenna,1998,tt0120586,8.6,Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien,1,1,2,1,1,1,7
David Fincher,22 Sep 1995,Se7en,Andrew Kevin Walker,1995,tt0114369,8.6,Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt,3,1,1,1,1,2,9
Guy Ritchie,19 Jan 2001,Snatch,Guy Ritchie,2000,tt0208092,8.3,Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt,2,2,1,1,1,2,9
David Fincher,03 Oct 2014,Gone Girl,"Gillian Flynn (screenplay), Gillian Flynn (novel)",2014,tt2267998,8.1,Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry,3,1,1,1,1,1,8
Akira Kurosawa,19 Nov 1956,Seven Samurai,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)",1954,tt0047478,8.7,Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki,5,1,3,1,1,1,12
Akira Kurosawa,13 Sep 1961,Yojimbo,"Akira Kurosawa (story), Akira Kurosawa (screenplay), Ryûzô Kikushima (screenplay)",1961,tt0055630,8.3,Toshirô Mifune, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada,5,1,3,1,1,1,12
Akira Kurosawa,26 Dec 1951,Rashomon,"Ryûnosuke Akutagawa (stories), Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay)",1950,tt0042876,8.3,Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura,5,1,3,1,1,1,12
Akira Kurosawa,25 Mar 1956,Ikiru,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",1952,tt0044741,8.3,Takashi Shimura, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki,5,1,1,1,1,1,10
Akira Kurosawa,01 Jun 1985,Ran,"Akira Kurosawa (screenplay), Hideo Oguni (screenplay), Masato Ide (screenplay), William Shakespeare (play)",1985,tt0089881,8.3,Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû,5,1,1,1,1,1,10
Martin Scorsese,08 Feb 1976,Taxi Driver,Paul Schrader,1976,tt0075314,8.3,Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito,7,1,1,1,1,1,12
"Lana Wachowski, Lilly Wachowski",31 Mar 1999,The Matrix,"Lilly Wachowski, Lana Wachowski",1999,tt0133093,8.7,Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving,1,1,1,1,1,1,6
"Fernando Meirelles, Kátia Lund",13 Feb 2004,City of God,"Paulo Lins (novel), Bráulio Mantovani (screenplay)",2002,tt0317248,8.7,Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva,1,1,1,1,1,1,6
Milos Forman,21 Nov 1975,One Flew Over the Cuckoo's Nest,"Lawrence Hauben (screenplay), Bo Goldman (screenplay), Ken Kesey (based on the novel by), Dale Wasserman (the play version: ""One Flew Over the Cuckoo's Nest"" by)",1975,tt0073486,8.7,Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown,2,1,1,1,1,1,7
Milos Forman,19 Sep 1984,Amadeus,"Peter Shaffer (original stage play), Peter Shaffer (original screenplay)",1984,tt0086879,8.3,F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice,2,1,1,1,1,1,7
Charles Chaplin,07 Mar 1931,City Lights,Charles Chaplin,1931,tt0021749,8.6,Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia,5,5,1,1,1,1,14
Charles Chaplin,25 Feb 1936,Modern Times,Charles Chaplin,1936,tt0027977,8.6,Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford,5,5,3,1,1,1,16
Charles Chaplin,07 Mar 1941,The Great Dictator,Charles Chaplin,1940,tt0032553,8.5,Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell,5,5,3,1,1,1,16
Charles Chaplin,N/A,The Gold Rush,Charles Chaplin,1925,tt0015864,8.2,Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman,5,5,3,1,1,1,16
Charles Chaplin,06 Feb 1921,The Kid,Charles Chaplin,1921,tt0012349,8.3,Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin,5,5,1,1,1,1,14
Michael Curtiz,23 Jan 1943,Casablanca,"Julius J. Epstein (screenplay), Philip G. Epstein (screenplay), Howard Koch (screenplay), Murray Burnett (play), Joan Alison (play)",1942,tt0034583,8.6,Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains,1,1,3,1,1,1,8
John Huston,24 Jan 1948,The Treasure of the Sierra Madre,"John Huston (screenplay), B. Traven (based on the novel by)",1948,tt0040897,8.3,Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett,2,1,3,1,1,1,9
John Huston,18 Oct 1941,The Maltese Falcon,"John Huston (screenplay), Dashiell Hammett (based upon the novel by)",1941,tt0033870,8.1,Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre,2,1,3,1,1,1,9
Roberto Benigni,12 Feb 1999,Life Is Beautiful,"Vincenzo Cerami (story and screenplay by), Roberto Benigni (story and screenplay by)",1997,tt0118799,8.6,Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano,1,1,1,1,1,1,6
Jonathan Demme,14 Feb 1991,The Silence of the Lambs,"Thomas Harris (novel), Ted Tally (screenplay)",1991,tt0102926,8.6,Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz,1,1,1,1,1,1,6
"Olivier Nakache, Eric Toledano",02 Nov 2011,The Intouchables,"Olivier Nakache, Eric Toledano",2011,tt1675434,8.6,François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot,1,1,1,1,1,1,6
Hayao Miyazaki,28 Mar 2003,Spirited Away,Hayao Miyazaki,2001,tt0245429,8.6,Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô,6,4,1,1,1,1,14
Hayao Miyazaki,12 Jul 1997,Princess Mononoke,Hayao Miyazaki,1997,tt0119698,8.4,Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio,6,4,1,1,1,1,14
Hayao Miyazaki,16 Apr 1988,My Neighbor Totoro,Hayao Miyazaki,1988,tt0096283,8.2,Chika Sakamoto, Hitoshi Takagi, Noriko Hidaka, Shigesato Itoi,6,4,1,1,1,1,14
