Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
Billy Wilder,14 Apr 1959,Some Like It Hot,"Billy Wilder (screenplay), I.A.L. Diamond (screenplay), Robert Thoeren (suggested by a story by), Michael Logan (suggested by a story by)",1959,tt0053291,8.3,Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft,5,1,1,1,1,1,10
Billy Wilder,16 Sep 1960,The Apartment,"Billy Wilder, I.A.L. Diamond",1960,tt0053604,8.3,Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston,5,1,1,1,1,1,10
Alfred Hitchcock,08 Sep 1960,Psycho,"Joseph Stefano (screenplay), Robert Bloch (novel)",1960,tt0054215,8.5,Anthony Perkins, Vera Miles, John Gavin, Janet Leigh,7,1,1,1,1,1,12
Alfred Hitchcock,26 Sep 1959,North by Northwest,Ernest Lehman,1959,tt0053125,8.4,Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis,7,1,1,1,1,1,12
Alfred Hitchcock,12 Apr 1940,Rebecca,"Daphne Du Maurier (celebrated novel), Robert E. Sherwood (screen play), Joan Harrison (screen play), Philip MacDonald (adaptation), Michael Hogan (adaptation)",1940,tt0032976,8.2,Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson,7,1,1,1,2,1,13
Joseph L. Mankiewicz,15 Jan 1951,All About Eve,Joseph L. Mankiewicz (written for the screen by),1950,tt0042192,8.3,Bette Davis, Anne Baxter, George Sanders, Celeste Holm,1,1,1,1,2,1,7
Alfred Hitchcock,30 Jun 1951,Strangers on a Train,"Raymond Chandler (screen play), Czenzi Ormonde (screen play), Whitfield Cook (adaptation), Patricia Highsmith (from the novel by)",1951,tt0044079,8.1,Farley Granger, Ruth Roman, Robert Walker, Leo G. Carroll,7,1,1,1,1,1,12
Orson Welles,05 Sep 1941,Citizen Kane,"Herman J. Mankiewicz (original screen play), Orson Welles (original screen play)",1941,tt0033467,8.4,Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick,2,1,2,1,1,1,8
Carol Reed,31 Aug 1949,The Third Man,"Graham Greene (by), Graham Greene (screen play)",1949,tt0041959,8.3,Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard,1,1,2,1,2,1,8
Orson Welles,21 May 1958,Touch of Evil,"Orson Welles (screenplay), Whit Masterson (based on the novel ""Badge Of Evil"" by)",1958,tt0052311,8.1,Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia,2,1,2,1,2,1,9
William Wyler,29 Jan 1960,Ben-Hur,"Lew Wallace (novel), Karl Tunberg (screenplay)",1959,tt0052618,8.1,Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd,3,1,2,1,1,1,9
Andrew Stanton,27 Jun 2008,WALL·E,"Andrew Stanton (original story by), Pete Docter (original story by), Andrew Stanton (screenplay), Jim Reardon (screenplay)",2008,tt0910970,8.4,Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard,1,1,1,1,1,1,6
